 [2022-08-30 15:05:39,217] INFO : ingesting file: comm-2208.csv
 [2022-08-30 15:05:39,236] INFO : Count of added rows to Community: 0
 [2022-08-30 15:05:39,249] INFO : Processed comm-2208.csv with 0 new rows added
 [2022-08-30 15:05:39,249] INFO : moved comm-2208.csv to completed directory
 [2022-08-30 15:05:39,249] INFO : ingesting file: coll-2208.csv
 [2022-08-30 15:05:39,262] INFO : Count of added rows to Collection: 2
 [2022-08-30 15:05:39,264] INFO : Processed coll-2208.csv with 2 new rows added
 [2022-08-30 15:05:39,264] INFO : moved coll-2208.csv to completed directory
 [2022-08-30 15:05:39,264] INFO : ingesting file: itct-2208.csv
 [2022-08-30 15:05:39,276] INFO : moved itct-2208.csv to completed directory
 [2022-08-30 15:05:39,276] INFO : Ingest complete
 [2022-08-30 15:05:39,276] INFO : Starting report generation
 [2022-08-30 15:05:39,346] INFO : created: dome-cicmts-202208.txt
 [2022-08-30 15:05:39,356] INFO : created: dome-cicmts-202208.html
 [2022-08-30 15:05:39,389] INFO : created report: dome-cicmts-202208.xlsx
 [2022-08-30 15:05:39,446] INFO : End of DRP CICMTS run
 [2022-09-28 01:40:11,310] INFO : DRP module CICMTS, version 0.2.3
 [2022-09-28 01:40:11,312] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-09-28 01:40:11,321] INFO : starting data ingest
 [2022-09-28 01:40:11,321] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
 [2022-09-28 01:40:11,323] INFO : ingesting file: comm-2209.csv
 [2022-09-28 01:40:11,330] INFO : Count of added rows to Community: 0
 [2022-09-28 01:40:11,334] INFO : Processed comm-2209.csv with 0 new rows added
 [2022-09-28 01:40:11,335] INFO : moved comm-2209.csv to completed directory
 [2022-09-28 01:40:11,335] INFO : ingesting file: coll-2209.csv
 [2022-09-28 01:40:11,346] INFO : Count of added rows to Collection: 0
 [2022-09-28 01:40:11,349] INFO : Processed coll-2209.csv with 0 new rows added
 [2022-09-28 01:40:11,350] INFO : moved coll-2209.csv to completed directory
 [2022-09-28 01:40:11,350] INFO : ingesting file: itct-2209.csv
 [2022-09-28 01:40:11,362] INFO : moved itct-2209.csv to completed directory
 [2022-09-28 01:40:11,362] INFO : Ingest complete
 [2022-09-28 01:40:11,362] INFO : Starting report generation
 [2022-09-28 01:40:11,423] INFO : created: dome-cicmts-202209.txt
 [2022-09-28 01:40:11,429] INFO : created: dome-cicmts-202209.html
 [2022-09-28 01:40:11,455] INFO : created report: dome-cicmts-202209.xlsx
 [2022-09-28 01:40:11,498] INFO : End of DRP CICMTS run
 [2022-10-26 16:11:42,474] INFO : DRP module CICMTS, version 0.2.3
 [2022-10-26 16:11:42,475] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-10-26 16:11:42,484] INFO : starting data ingest
 [2022-10-26 16:11:42,484] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
 [2022-10-26 16:11:42,487] INFO : ingesting file: comm-2210.csv
 [2022-10-26 16:11:42,499] INFO : Count of added rows to Community: 0
 [2022-10-26 16:11:42,503] INFO : Processed comm-2210.csv with 0 new rows added
 [2022-10-26 16:11:42,504] INFO : moved comm-2210.csv to completed directory
 [2022-10-26 16:11:42,504] INFO : ingesting file: coll-2210.csv
 [2022-10-26 16:11:42,511] INFO : Count of added rows to Collection: 0
 [2022-10-26 16:11:42,514] INFO : Processed coll-2210.csv with 0 new rows added
 [2022-10-26 16:11:42,514] INFO : moved coll-2210.csv to completed directory
 [2022-10-26 16:11:42,514] INFO : ingesting file: itct-2210.csv
 [2022-10-26 16:11:42,526] INFO : moved itct-2210.csv to completed directory
 [2022-10-26 16:11:42,526] INFO : Ingest complete
 [2022-10-26 16:11:42,526] INFO : Starting report generation
 [2022-10-26 16:11:42,588] INFO : created: dome-cicmts-202210.txt
 [2022-10-26 16:11:42,597] INFO : created: dome-cicmts-202210.html
 [2022-10-26 16:11:42,629] INFO : created report: dome-cicmts-202210.xlsx
 [2022-10-26 16:11:42,678] INFO : End of DRP CICMTS run
 [2022-11-28 12:23:21,115] INFO : DRP module CICMTS, version 0.2.3
 [2022-11-28 12:23:21,116] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-11-28 12:23:21,122] INFO : starting data ingest
 [2022-11-28 12:23:21,122] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
 [2022-11-28 12:23:21,124] INFO : ingesting file: comm-2211.csv
 [2022-11-28 12:23:21,131] INFO : Count of added rows to Community: 0
 [2022-11-28 12:23:21,134] INFO : Processed comm-2211.csv with 0 new rows added
 [2022-11-28 12:23:21,135] INFO : moved comm-2211.csv to completed directory
 [2022-11-28 12:23:21,135] INFO : ingesting file: coll-2211.csv
 [2022-11-28 12:23:21,141] INFO : Count of added rows to Collection: 0
